route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time
Philadelphia-Nashville,airplane,Philadelphia,Nashville,39.9527237,-75.1635262,36.1622767,-86.7742984,1099.3824900986554,2.374228112623319
Philadelphia-Detroit,airplane,Philadelphia,Detroit,39.9527237,-75.1635262,42.3315509,-83.0466403,710.7909535015109,1.8884886918768888
Philadelphia-Oklahoma City,airplane,Philadelphia,Oklahoma City,39.9527237,-75.1635262,35.4729886,-97.5170536,2022.5115955397864,3.528139494424733
Philadelphia-Portland,airplane,Philadelphia,Portland,39.9527237,-75.1635262,45.5202471,-122.674194,3871.6239262393706,5.839529907799213
Philadelphia-Las Vegas,airplane,Philadelphia,Las Vegas,39.9527237,-75.1635262,36.171697,-115.1463536,3496.217658830012,5.370272073537516
Philadelphia-Memphis,airplane,Philadelphia,Memphis,39.9527237,-75.1635262,35.1460249,-90.0517638,1414.9113484110246,2.7686391855137806
Philadelphia-Baltimore,airplane,Philadelphia,Baltimore,39.9527237,-75.1635262,39.290386,-76.61219,144.28720772357576,1.1803590096544698
Philadelphia-Louisville,airplane,Philadelphia,Louisville,39.9527237,-75.1635262,38.2542376,-85.759407,932.995289427795,2.166244111784744
San Antonio-New York,airplane,San Antonio,New York,29.4246002,-98.4951405,40.7127281,-74.0060152,2545.0991907141733,4.181373988392717
San Antonio-Los Angeles,airplane,San Antonio,Los Angeles,29.4246002,-98.4951405,34.052235,-118.243683,1933.606049034761,3.417007561293452
San Antonio-Chicago,airplane,San Antonio,Chicago,29.4246002,-98.4951405,41.8755616,-87.6244212,1694.376236361355,3.117970295451694
San Antonio-Houston,airplane,San Antonio,Houston,29.4246002,-98.4951405,29.7589382,-95.3676974,304.6633408557572,1.3808291760696965
San Antonio-Phoenix,airplane,San Antonio,Phoenix,29.4246002,-98.4951405,33.4484367,-112.074141,1362.4651857306935,2.703081482163367
San Antonio-Philadelphia,airplane,San Antonio,Philadelphia,29.4246002,-98.4951405,39.9527237,-75.1635262,2422.654891777947,4.0283186147224335
San Antonio-San Diego,airplane,San Antonio,San Diego,29.4246002,-98.4951405,32.7174202,-117.162772,1812.6762216334027,3.2658452770417536
San Antonio-Dallas,airplane,San Antonio,Dallas,29.4246002,-98.4951405,32.7762719,-96.7968559,406.2350390648199,1.5077937988310248
