route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
Houston-Austin,road,Houston,Austin,29.7589382,-95.3676974,30.2711286,-97.7436995,262.3538,3.0219722222222223,31.482456,13.11769
Houston-Jacksonville,road,Houston,Jacksonville,29.7589382,-95.3676974,30.3321838,-81.655651,1402.1695,15.927333333333332,168.26034,70.108475
Houston-Fort Worth,road,Houston,Fort Worth,29.7589382,-95.3676974,32.753177,-97.3327459,422.2328,4.756361111111112,50.667936,21.11164
Houston-Columbus,road,Houston,Columbus,29.7589382,-95.3676974,39.9622601,-83.0007065,1860.9562,21.44136111111111,223.314744,93.04781
Houston-Charlotte,road,Houston,Charlotte,29.7589382,-95.3676974,35.2272086,-80.8430827,1666.8856,19.236527777777777,200.026272,83.34428000000001
Houston-San Francisco,road,Houston,San Francisco,29.7589382,-95.3676974,37.7792588,-122.4193286,3098.9108,33.483000000000004,371.869296,154.94554000000002
Houston-Indianapolis,road,Houston,Indianapolis,29.7589382,-95.3676974,39.7683331,-86.1583502,1617.0505,18.45236111111111,194.04606,80.85252500000001
Houston-Seattle,road,Houston,Seattle,29.7589382,-95.3676974,47.6038321,-122.330062,3723.8096,41.11122222222222,446.857152,186.19048
Houston-Denver,road,Houston,Denver,29.7589382,-95.3676974,39.7392364,-104.984862,1659.4392,18.628444444444444,199.132704,82.97196000000001
Houston-Washington,road,Houston,Washington,29.7589382,-95.3676974,38.8950368,-77.0365427,2266.3521,25.853583333333333,271.962252,113.317605
Houston-Boston,road,Houston,Boston,29.7589382,-95.3676974,42.3554334,-71.060511,2959.7137,34.68058333333334,355.165644,147.985685
Houston-El Paso,road,Houston,El Paso,29.7589382,-95.3676974,31.7601164,-106.4870404,1198.1712,12.354888888888889,143.780544,59.90856
Houston-Nashville,road,Houston,Nashville,29.7589382,-95.3676974,36.1622767,-86.7742984,1253.9048,14.298666666666666,150.46857599999998,62.695240000000005
Houston-Detroit,road,Houston,Detroit,29.7589382,-95.3676974,42.3315509,-83.0466403,2064.8615,23.87702777777778,247.78338,103.243075
Houston-Oklahoma City,road,Houston,Oklahoma City,29.7589382,-95.3676974,35.4729886,-97.5170536,715.0739,7.8662222222222224,85.80886799999999,35.753695
Houston-Portland,road,Houston,Portland,29.7589382,-95.3676974,45.5202471,-122.674194,3626.87,39.90252777777778,435.2244,181.3435
Houston-Las Vegas,road,Houston,Las Vegas,29.7589382,-95.3676974,36.171697,-115.1463536,2295.9908,25.50027777777778,275.518896,114.79954
Houston-Memphis,road,Houston,Memphis,29.7589382,-95.3676974,35.1460249,-90.0517638,912.5255,10.425,109.50306,45.626275
Houston-Baltimore,road,Houston,Baltimore,29.7589382,-95.3676974,39.290386,-76.61219,2327.6925,26.640555555555554,279.3231,116.384625
Houston-Louisville,road,Houston,Louisville,29.7589382,-95.3676974,38.2542376,-85.759407,1529.7812,17.435861111111112,183.573744,76.48906
Phoenix-New York,road,Phoenix,New York,33.4484367,-112.074141,40.7127281,-74.0060152,3875.0544,44.20913888888889,465.006528,193.75272
Phoenix-Los Angeles,road,Phoenix,Los Angeles,33.4484367,-112.074141,34.052235,-118.243683,600.1144,6.697416666666667,72.013728,30.005720000000004
Phoenix-Chicago,road,Phoenix,Chicago,33.4484367,-112.074141,41.8755616,-87.6244212,2825.0341000000003,31.65233333333333,339.004092,141.25170500000002
Phoenix-Houston,road,Phoenix,Houston,33.4484367,-112.074141,29.7589382,-95.3676974,1891.7859,19.77663888888889,227.014308,94.589295
Phoenix-Philadelphia,road,Phoenix,Philadelphia,33.4484367,-112.074141,39.9527237,-75.1635262,3767.431,42.62363888888889,452.09172,188.37155
Phoenix-San Antonio,road,Phoenix,San Antonio,33.4484367,-112.074141,29.4246002,-98.4951405,1579.3001000000002,16.36538888888889,189.516012,78.96500500000002
Phoenix-San Diego,road,Phoenix,San Diego,33.4484367,-112.074141,32.7174202,-117.162772,571.5723,6.564138888888889,68.588676,28.578615000000003
Phoenix-Dallas,road,Phoenix,Dallas,33.4484367,-112.074141,32.7762719,-96.7968559,1714.7716,18.153,205.772592,85.73858000000001
Phoenix-San Jose,road,Phoenix,San Jose,33.4484367,-112.074141,37.3361663,-121.890591,1143.0164,13.037416666666664,137.161968,57.15082
